pickup_from,deliver_to,package_id,delivery_date,volume,weight,return,vehicle_restrictions
BLUCOFFEE,REBALDO FOODS INC. (FORGET ME NOT CAFE),AYVAAK_BLUCOFFEE,11/06/2018,0.080058,25.15,TRUE,bluecoffee
BLUCOFFEE,SH A BONIFACIO BALINTAWAK COSS,NTYHXD_BLUCOFFEE,11/06/2018,0.103138,45.7,TRUE,bluecoffee
BLUCOFFEE,SH OSMENA HWAY ESTANISLAO COSS,VICP1F_BLUCOFFEE,11/06/2018,0.0873,33.7,TRUE,bluecoffee
BLUCOFFEE,SH UNITED NATIONS PEREZ COSS,AROPND_BLUCOFFEE,11/06/2018,0.051344,16.9,TRUE,bluecoffee
BLUCOFFEE,ZUCCHERO CAFE,8VKKGA_BLUCOFFEE,11/06/2018,0.091032,47.7,TRUE,bluecoffee
FRUITMAGIC,SH 156 VALERO D2G COSS,EAYN82_FRUITMAGIC,11/06/2018,0.0036639,3.54,,
FRUITMAGIC,SH A BONIFACIO BALINTAWAK COSS,5DJQUW_FRUITMAGIC,11/06/2018,0.00439668,4.248,,zone1
FRUITMAGIC,SH C5 JULIA VARGAS COSS,QCE8YT_FRUITMAGIC,11/06/2018,0.00293112,2.832,,
FRUITMAGIC,SH C5 LOGCOM NORTHBOUND COSS,NQXWPR_FRUITMAGIC,11/06/2018,0.0036639,3.54,,
FRUITMAGIC,SH EDSA MALIBAY PASAY COSS,8CVJUS_FRUITMAGIC,11/06/2018,0.07509834,46.749,,
FRUITMAGIC,SH KATIPUNAN 1ST IGNATIUS COSS,QQYIMG_FRUITMAGIC,11/06/2018,0.00403029,3.894,,
FRUITMAGIC,SH SOLARIS ONE D2G COSS,ZKPU1H_FRUITMAGIC,11/06/2018,0.12406473,76.853,,
FRUITMAGIC,SH SOUTH SUPER MAGALLANES COSS,CH7TXB_FRUITMAGIC,11/06/2018,0.05263029,33.644,,
FRUITMAGIC,SH SUCAT RD SAN ISIDRO COSS,C5CPOC_FRUITMAGIC,11/06/2018,0.00476307,4.602,,
SETPOWERFOODS,SH C5 JULIA VARGAS COSS,37WSAQ_SETPOWERFOODS,11/06/2018,0.030727,3.3,,
SETPOWERFOODS,SH EDSA MALIBAY PASAY COSS,HKNWQ2_SETPOWERFOODS,11/06/2018,0.026588,4,,
FRUITMAGIC,SH A BONIFACIO BALINTAWAK COSS,QDCSW2_FRUITMAGIC,09/06/2018,0.00439668,4.248,TRUE,
FRUITMAGIC,SH ALABANG ZAP ALMANZA UNO COSS,NGHUDS_FRUITMAGIC,09/06/2018,0.00219834,2.124,TRUE,
FRUITMAGIC,SH C5 JULIA VARGAS COSS,WL3A1Q_FRUITMAGIC,09/06/2018,0.00329751,3.186,TRUE,
FRUITMAGIC,SH C5 LOGCOM NORTHBOUND COSS,KAATJV_FRUITMAGIC,09/06/2018,0.12553029,78.269,TRUE,
FRUITMAGIC,SH DMMA PEARL ST FAIRVIEW COSS,D27YWW_FRUITMAGIC,09/06/2018,0.00403029,3.894,,
FRUITMAGIC,SH EDSA MAIN CUBAO QC COSS,CK9J8B_FRUITMAGIC,09/06/2018,0.00256473,2.478,,
FRUITMAGIC,SH NAGA RD PULANG LUPA COSS,AHKFGG_FRUITMAGIC,09/06/2018,0.1215,74.375,,zone2;bluecoffee
FRUITMAGIC,SH PARKLNE DAANGHARI COSS,NW4XLK_FRUITMAGIC,09/06/2018,0.00219834,2.124,,
FRUITMAGIC,SH SUCAT STA RITA COSS,5B2BTZ_FRUITMAGIC,09/06/2018,0.04969917,30.812,,
SETPOWERFOODS,SH C5 LOGCOM NORTHBOUND COSS,DMBW34_SETPOWERFOODS,09/06/2018,0.186376,29.3,,
